,temperature_180m,wind_direction_180m,wind_speed_180m,surface_pressure,cloud_cover,relative_humidity_2m,precipitation,visibility
15_JUN,0.3311587113966385,0.6678584363003557,0.578350945871939,0.0,1.0,0.9690970669788864,0.0513367317187635,0.3960898188777351
16_JUN,0.40623989901327195,0.5097976491906938,0.6485607514800508,0.3390599518327528,0.946836726438259,1.0,0.0,0.7887673063537322
17_JUN,0.9666219696768398,0.8504666401689842,0.4509800343446391,0.5324721910752884,0.4926145284124661,0.7032645624502382,0.0,1.0
18_JUN,0.27126980835116343,0.507404336495177,0.7088299543928139,0.1960473054572158,0.9312382688892832,1.0,0.0,0.10993184724526227
19_JUN,0.7695794938798984,0.37805149190180554,0.44840070042101926,0.3518035583130443,1.0,0.28577129067712964,0.0,0.5356634907106194
20_JUN,0.7068916761770481,0.5211047350160714,0.36346860415237403,0.3301558999611408,0.32017156725736134,0.2921223030542762,0.0,1.0
21_JUN,0.27200302137165216,0.5038119108712777,0.48541597451317064,0.08833561536193972,0.8434490974018318,1.0,0.0,0.7860879452564925
22_JUN,0.13554600261373154,0.18096957043558984,0.06468498631769957,0.0,0.372197630157899,1.0,0.05041941458671824,0.2361416000240902
23_JUN,0.5366223904516733,0.4291006018720222,0.15136286748550673,0.28254000753541947,0.7557444646205052,0.4810920995128907,0.0,1.0
24_JUN,0.3584970873310837,0.5101735070189675,0.2517998787295314,0.12606810539984684,0.6571935423284925,0.37886100886891494,0.0,1.0
25_JUN,0.1734493976639288,0.32531123962405134,0.3019309685739013,0.06533253252692285,0.5845025160092608,0.30309297100074073,0.0,1.0
26_JUN,0.6623160824670097,0.3381716604833252,1.0,0.684044675690019,0.8616545127672884,0.9098034288821836,0.0,0.35219499733857546
27_JUN,0.2889974311808192,0.4687111681298941,0.5584499787460472,0.3451761900220246,1.0,0.7693863425982157,0.0,0.12059348273942223
28_JUN,0.395569848541119,0.5359437156095,1.0,0.19427566815426328,0.9952443607283193,0.8625982106606161,0.0,0.2315145829844459
29_JUN,0.3139027277910233,0.5371080410303086,0.4844181244028693,0.14067376389801808,0.9359815593747385,1.0,0.0,0.658853861268123
30_JUN,0.2634036529747441,0.37807121854021775,0.19080252684256424,0.13958332647947544,0.6294191666882807,0.3613298020953393,0.0,1.0
01_JLY,0.2816510472467293,0.6985024571359687,0.469271704148245,0.06921362220183999,0.927309471545406,1.0,0.0,0.9129456984637113
02_JLY,0.9703296131923446,0.6320216230549249,0.3667733075941895,0.4058476141354927,0.3746498152655492,0.5168474123218075,0.0,1.0
03_JLY,0.4574633998494396,0.47604831345710147,0.2926381851190584,0.036975971779751524,0.7258356927235431,1.0,0.0,0.4200171335162179
04_JLY,0.35314036909862195,0.5922445992849625,0.253097385881498,0.0,0.5581845464778549,0.6364374522819751,0.007780528897923714,1.0
05_JLY,0.20822080616377714,0.4862448389058259,0.5256370478658619,0.05478201669333546,0.8721202490167907,1.0,0.0,0.2818086290626173
06_JLY,0.4780168997789787,0.4141675682039931,0.17870240303730328,0.13028038697921526,0.4258922098078062,1.0,0.0,0.5747412288204181
07_JLY,0.9345448203303222,0.565326680338721,1.0,0.8394054309259215,0.5641670111379848,0.17978969201258493,0.0,0.33125777297107367
08_JLY,0.2818413873539847,0.5729596323209767,0.4083911886524863,0.05697518288175244,0.7610962040257193,1.0,0.0,0.2625871355214754
09_JLY,0.5883656656643322,0.38442411720949593,0.3843467155693955,0.2679119641735169,0.6530324262525292,1.0,0.0,0.27746422746446386
10_JLY,0.07475517585735549,0.0601298809853772,0.2805556422441878,0.14062384392004174,0.2748936126517932,0.319852010217996,0.0,1.0
11_JLY,0.28176381606859097,0.5750268586133179,0.6183415877653545,0.0,0.9617317774477899,1.0,0.030605788556336697,0.27302463271168037
12_JLY,0.8929209428899076,0.8449406454775044,0.5873308494963235,0.12383957259214413,1.0,0.7380861980458423,0.0,0.8086352898149359
13_JLY,0.08058641286484965,0.4761559020392412,0.23981598626539816,0.07614105355315763,0.7694799748016933,1.0,0.0,0.2773628695028482
14_JLY,0.4673084816561764,0.351893508304484,1.0,0.0,0.5586136475122053,0.3538502835400459,0.04412031321640206,0.2334878169831425
15_JLY,0.37191307134448864,0.409584664060331,0.34460002608096674,0.034217689157640334,0.90628916294323,1.0,0.0,0.9787204250657158
